ticker,cik,filing_date,accession,doc,tokens,substantive_per10k,boilerplate_per10k,tls_raw,tls_z
NEE,753308,2025-02-14,0000753308-25-000011,nee-20241231.htm,86666,106.84697574596706,3.865414349341149,102.98156139662592,1.0223642304779779
NEE,753308,2024-02-16,0000753308-24-000008,nee-20231231.htm,85922,122.37843625613918,3.8988850352645423,118.47955122087464,1.3518350228240046
NEE,753308,2023-02-17,0000753308-23-000019,nee-20221231.htm,87058,123.54981736313711,4.192607227365665,119.35721013577144,1.3704931185757627
FSLR,1274494,2025-02-25,0001274494-25-000010,fslr-20241231.htm,72094,147.76541737176467,4.091880045496158,143.6735373262685,1.887432391168598
FSLR,1274494,2024-02-27,0001274494-24-000004,fslr-20231231.htm,70299,153.131623493933,4.196361256916884,148.9352622370161,1.9992910705915516
FSLR,1274494,2023-02-28,0001274494-23-000002,fslr-20221231.htm,69947,150.6426294194174,1.9300327390738703,148.71259668034355,1.9945574375064214
ENPH,1463101,2025-02-10,0001463101-25-000024,enph-20241231.htm,72602,65.20481529434448,4.200986198727308,61.00382909561717,0.12996225583845764
ENPH,1463101,2024-02-09,0001463101-24-000024,enph-20231231.htm,75435,67.13064227480608,4.772320540862995,62.358321733943086,0.15875732976977844
ENPH,1463101,2023-02-13,0001463101-23-000025,enph-20221231.htm,78721,62.82948641404452,3.937958105206997,58.891528308837515,0.08505698607214682
PLUG,1093691,2025-04-30,0001104659-25-042552,plug-20241231x10ka.htm,25622,12.489267036140816,6.244633518070408,6.244633518070408,-1.0341600438766252
PLUG,1093691,2025-03-03,0001558370-25-002049,plug-20241231x10k.htm,107295,68.26040356027771,2.6096276620532177,65.65077589822448,0.228751406070661
PLUG,1093691,2024-02-29,0001558370-24-002178,plug-20231231x10k.htm,98508,66.54281885735163,2.740894140577415,63.80192471677422,0.18944679491849598
TSLA,1318605,2025-04-30,0001104659-25-042659,tm252787d2_10ka.htm,22488,83.15546069014586,4.00213447171825,79.15332621842761,0.5158012753207252
TSLA,1318605,2025-01-30,0001628280-25-003063,tsla-20241231.htm,60705,89.18540482662051,5.106663372045136,84.07874145457538,0.6205103684927789
TSLA,1318605,2024-01-29,0001628280-24-002390,tsla-20231231.htm,62783,95.16907443097654,4.5394453912683375,90.6296290397082,0.7597752762465874
RUN,1469367,2025-02-27,0001469367-25-000039,run-20241231.htm,76346,132.67230765200532,4.518900793754748,128.15340685825055,1.5574909122671905
RUN,1469367,2024-02-21,0001469367-24-000024,run-20231231.htm,76806,128.55766476577347,4.361638413665599,124.19602635210788,1.4733612086243666
RUN,1469367,2023-02-22,0001469367-23-000030,run-20221231.htm,72428,136.71508256475389,4.694317114927928,132.02076544982594,1.6397068456819182
GE,40545,2025-02-03,0000040545-25-000015,ge-20241231.htm,67745,3.8674440918148942,2.5094102885821834,1.3580338032327108,-1.1380439603188977
GE,40545,2024-02-02,0000040545-24-000027,ge-20231231.htm,72678,31.97666418998874,3.4398304851536916,28.53683370483505,-0.5602515601339196
GE,40545,2023-02-10,0000040545-23-000023,ge-20221231.htm,75766,31.518095187815128,3.167647757569358,28.350447430245772,-0.5642139342397066
DUK,1326160,2025-02-27,0001326160-25-000072,duk-20241231.htm,178608,38.3185523604765,3.4432948132222525,34.87525754725425,-0.42550340574299783
DUK,1326160,2024-02-23,0001326160-24-000037,duk-20231231.htm,172590,38.918824960889935,3.7661509936844544,35.15267396720548,-0.4196058274939709
DUK,1326160,2023-02-27,0001326160-23-000073,duk-20221231.htm,165942,40.068216605801986,3.4951971170649987,36.57301948873698,-0.3894107912543727
GM,1467858,2025-01-28,0001467858-25-000032,gm-20241231.htm,73039,17.648105806486935,2.464436807732855,15.183668998754081,-0.8441256499952972
GM,1467858,2024-01-30,0001467858-24-000031,gm-20231231.htm,70762,19.62917950312314,3.1796727056894944,16.449506797433646,-0.8172152837321857
GM,1467858,2023-01-31,0001467858-23-000029,gm-20221231.htm,69551,16.980345358082552,3.666374315250679,13.313971042831874,-0.8838734414167112
XOM,34088,2025-02-19,0000034088-25-000010,xom-20241231.htm,70149,22.92263610315188,2.7085204350739143,20.214115668077966,-0.7371837001816919
XOM,34088,2024-02-28,0000034088-24-000018,xom-20231231.htm,66231,24.97319986109224,2.7932539143301476,22.179945946762093,-0.6953922377481263
XOM,34088,2023-02-22,0000034088-23-000020,xom-20221231.htm,65164,26.195445337916635,2.992449818918421,23.20299551899821,-0.673643291143031
CVX,93410,2025-02-21,0000093410-25-000009,cvx-20241231.htm,78254,26.73345771462164,5.239348787282439,21.4941089273392,-0.7099724038710868
CVX,93410,2024-02-26,0000093410-24-000013,cvx-20231231.htm,77546,26.745415624274642,5.4806179557939805,21.26479766848066,-0.7148473175216158
CVX,93410,2023-02-23,0000093410-23-000009,cvx-20221231.htm,73758,28.07831014940755,5.694297567721467,22.384012581686083,-0.6910539979723719
OXY,797468,2025-02-18,0000797468-25-000029,oxy-20241231.htm,77804,18.18672561822015,5.141123849673539,13.045601768546613,-0.8895786869642175
OXY,797468,2024-02-14,0000797468-24-000034,oxy-20231231.htm,82734,17.139265598182135,5.439118137645949,11.700147460536185,-0.9181816155989999
OXY,797468,2023-05-09,0000797468-23-000031,oxy-20221231.htm,40543,5.968971215746245,2.959820437560121,3.009150778186123,-1.102942968244253
BTU,1064728,2025-02-20,0001064728-25-000018,btu-20241231.htm,94726,14.589447458986983,2.5864071110360407,12.003040347950943,-0.9117424347281766
BTU,1064728,2024-02-23,0001064728-24-000021,btu-20231231.htm,96769,14.632785292810725,2.686810858849425,11.9459744339613,-0.9129555954097445
BTU,1064728,2023-02-24,0001064728-23-000013,btu-20221231.htm,102746,12.749888073501653,2.579175831662546,10.170712241839107,-0.9506957828594287
NVDA,1045810,2025-02-26,0001045810-25-000023,nvda-20250126.htm,54442,9.441240218948604,0.36736343264391463,9.07387678630469
NVDA,1045810,2024-02-21,0001045810-24-000029,nvda-20240128.htm,53232,12.3234144875263,0.18785692816351068,12.13555755936279
NVDA,1045810,2023-02-24,0001045810-23-000017,nvda-20230129.htm,50117,6.544685436079574,3.1925294810144265,3.352155955065147
